match_id,date,season,home_team,away_team,home_goals,away_goals,status
2025-08-15_Liverpool_Bournemouth,2025-08-15,2025-26,Liverpool,Bournemouth,4,2,FINISHED
2025-08-16_AstonVilla_Newcastle,2025-08-16,2025-26,Aston Villa,Newcastle,0,0,FINISHED
2025-08-16_Brighton_Fulham,2025-08-16,2025-26,Brighton,Fulham,1,1,FINISHED
2025-08-16_Sunderland_WestHam,2025-08-16,2025-26,Sunderland,West Ham,3,0,FINISHED
2025-08-16_Tottenham_Burnley,2025-08-16,2025-26,Tottenham,Burnley,3,0,FINISHED
2025-08-16_Wolves_ManCity,2025-08-16,2025-26,Wolves,Man City,0,4,FINISHED
2025-08-17_Chelsea_CrystalPalace,2025-08-17,2025-26,Chelsea,Crystal Palace,0,0,FINISHED
2025-08-17_ManUnited_Arsenal,2025-08-17,2025-26,Man United,Arsenal,0,1,FINISHED
2025-08-17_Nott'mForest_Brentford,2025-08-17,2025-26,Nott'm Forest,Brentford,3,1,FINISHED
2025-08-18_Leeds_Everton,2025-08-18,2025-26,Leeds,Everton,1,0,FINISHED
2025-08-22_WestHam_Chelsea,2025-08-22,2025-26,West Ham,Chelsea,1,5,FINISHED
2025-08-23_Arsenal_Leeds,2025-08-23,2025-26,Arsenal,Leeds,5,0,FINISHED
2025-08-23_Bournemouth_Wolves,2025-08-23,2025-26,Bournemouth,Wolves,1,0,FINISHED
2025-08-23_Brentford_AstonVilla,2025-08-23,2025-26,Brentford,Aston Villa,1,0,FINISHED
2025-08-23_Burnley_Sunderland,2025-08-23,2025-26,Burnley,Sunderland,2,0,FINISHED
2025-08-23_ManCity_Tottenham,2025-08-23,2025-26,Man City,Tottenham,0,2,FINISHED
2025-08-24_CrystalPalace_Nott'mForest,2025-08-24,2025-26,Crystal Palace,Nott'm Forest,1,1,FINISHED
2025-08-24_Everton_Brighton,2025-08-24,2025-26,Everton,Brighton,2,0,FINISHED
2025-08-24_Fulham_ManUnited,2025-08-24,2025-26,Fulham,Man United,1,1,FINISHED
2025-08-25_Newcastle_Liverpool,2025-08-25,2025-26,Newcastle,Liverpool,2,3,FINISHED
2025-08-30_Chelsea_Fulham,2025-08-30,2025-26,Chelsea,Fulham,2,0,FINISHED
